year,importer1,id1,importer2,id2,flow1,flow2
1999,Canada,CAN,Maldives,MDV,3.3764875,6.3915887
1999,Canada,CAN,Nepal,NPL,4.8499475,2.5406928
1999,Canada,CAN,Thailand,THA,1116.5481,334.45374
1999,Canada,CAN,Cambodia,KHM,8.3577623,3.98
1999,Canada,CAN,Laos,LAO,2.1222966,0.021742668
1999,Canada,CAN,Vietnam,VNM,143.74117,49.525002
1999,Canada,CAN,Malaysia,MYS,1523.1204,381.34875
1999,Canada,CAN,Singapore,SGP,913.22034,412.22372
1999,Canada,CAN,Brunei,BRN,0.70833915,3.9662607
1999,Canada,CAN,Philippines,PHL,772.63177,198.23737
1999,Canada,CAN,Indonesia,IDN,639.18494,421.17764
1999,Canada,CAN,Australia,AUS,892.7276,1150.8376
1999,Canada,CAN,Papua New Guinea,PNG,9.712266,1.5039134
1999,Canada,CAN,New Zealand,NZL,274.23932,201.53027
1999,Canada,CAN,Vanuatu,VUT,0.10470611,0.28361252
1999,Canada,CAN,Solomon Islands,SLB,0.008488751,0.25754842
1999,Canada,CAN,Kiribati,KIR,0,0
1999,Canada,CAN,Fiji,FJI,3.1637084,2.513155
1999,Canada,CAN,Tonga,TON,0.58133709,0.024889305
1999,Canada,CAN,Nauru,NRU,0.042574063,0.014172556
1999,Canada,CAN,Marshall Islands,MHL,-9,-9
1999,Canada,CAN,Palau,PLW,-9,-9
1999,Canada,CAN,Federated States of Micronesia,FSM,-9,-9
1999,Canada,CAN,Samoa,WSM,0.05790519,0.78092408
1999,Bahamas,BHS,Cuba,CUB,0.17833182,0
1999,Bahamas,BHS,Haiti,HTI,0.10001041,0.15375094
1999,Bahamas,BHS,Dominican Republic,DOM,0.72875988,1.2008733
1999,Bahamas,BHS,Jamaica,JAM,2.8042729,1.819594
1999,Bahamas,BHS,Trinidad and Tobago,TTO,10.743834,0.013009732
1999,Bahamas,BHS,Barbados,BRB,2.2728024,0.20059501
1999,Bahamas,BHS,Dominica,DMA,0,0.047037035
1999,Bahamas,BHS,Grenada,GRD,0.001751852,0.02337037
1999,Bahamas,BHS,St. Lucia,LCA,0.017111111,0.089629628
1999,Bahamas,BHS,St. Vincent and the Grenadines,VCT,0.025247037,0.082426667
1999,Bahamas,BHS,Antigua & Barbuda,ATG,0.03855823,0.085551076
1999,Bahamas,BHS,St. Kitts and Nevis,KNA,0,0.016801111
1999,Bahamas,BHS,Mexico,MEX,17.790176,9.3296127
1999,Bahamas,BHS,Belize,BLZ,0,0.064999998
1999,Bahamas,BHS,Guatemala,GTM,0.25665322,0.01723071
1999,Bahamas,BHS,Honduras,HND,0,0
1999,Bahamas,BHS,El Salvador,SLV,1.16666,26.6542
1999,Bahamas,BHS,Nicaragua,NIC,0,0
1999,Bahamas,BHS,Costa Rica,CRI,1.1503446,2.6306567
1999,Bahamas,BHS,Panama,PAN,1.0344048,0.047341
1999,Bahamas,BHS,Colombia,COL,6.1253953,0.44868499
1999,Bahamas,BHS,Venezuela,VEN,0,0
1999,Bahamas,BHS,Guyana,GUY,0,0.006627196
1999,Bahamas,BHS,Suriname,SUR,0,0.063418142
1999,Bahamas,BHS,Ecuador,ECU,0.025840707,0.18020836
1999,Bahamas,BHS,Peru,PER,0.671,1.8128
1999,Bahamas,BHS,Brazil,BRA,20.984699,16.0578
1999,Bahamas,BHS,Bolivia,BOL,0.022,0.01082
1999,Bahamas,BHS,Paraguay,PRY,0.03855823,0.001988159
1999,Bahamas,BHS,Chile,CHL,7.0180001,0
1999,Bahamas,BHS,Argentina,ARG,0.42256391,0.19266701
1999,Bahamas,BHS,Uruguay,URY,1.2076746,0
1999,Bahamas,BHS,United Kingdom,GBR,56.013611,107.28987
1999,Bahamas,BHS,Ireland,IRL,3.3083601,0.0438
1999,Bahamas,BHS,Netherlands,NLD,6.7939301,0.3497
1999,Bahamas,BHS,Belgium,BEL,9.2673683,2.799691
1999,Bahamas,BHS,Luxembourg,LUX,0.00231,0
1999,Bahamas,BHS,France,FRA,249.05298,171.3629
1999,Bahamas,BHS,Monaco,MCO,-9,-9
1999,Bahamas,BHS,Liechtenstein,LIE,-9,-9
1999,Bahamas,BHS,Switzerland,CHE,29.040001,21.6
1999,Bahamas,BHS,Spain,ESP,84.556229,119.9185
1999,Bahamas,BHS,Andorra,AND,-9,-9
1999,Bahamas,BHS,Portugal,PRT,0.26422,0.33989999
1999,Bahamas,BHS,Germany,DEU,236.19971,86.002998
1999,Bahamas,BHS,Poland,POL,33.9482,1.4632
1999,Bahamas,BHS,Austria,AUT,1.54231,0
1999,Bahamas,BHS,Hungary,HUN,1.2309,0.066
1999,Bahamas,BHS,Czech Republic,CZE,1.150695,0.25047743
1999,Bahamas,BHS,Slovakia,SVK,3.5245869,0.033429001
1999,Bahamas,BHS,Italy,ITA,293.32907,10.9996
1999,Bahamas,BHS,San Marino,SMR,-9,-9
1999,Bahamas,BHS,Malta,MLT,0,0.042436834
1999,Bahamas,BHS,Albania,ALB,-9,0
1999,Bahamas,BHS,Macedonia,MKD,0,0.028929999
1999,Bahamas,BHS,Croatia,HRV,0.18700001,3.04
1999,Bahamas,BHS,Yugoslavia,YUG,-9,-9
1999,Bahamas,BHS,Bosnia and Herzegovina,BIH,-9,-9
1999,Bahamas,BHS,Slovenia,SVN,0.0143297,0.116331
1999,Bahamas,BHS,Greece,GRC,36.088581,0.103
1999,Bahamas,BHS,Cyprus,CYP,0.066628486,0.23643772
1999,Bahamas,BHS,Bulgaria,BGR,0.121,0.007
1999,Bahamas,BHS,Moldova,MDA,0.44758999,0.083300002
1999,Bahamas,BHS,Romania,ROU,0.088,0.059999999
1999,Bahamas,BHS,Russia,RUS,126.4421,3.7205341
1999,Bahamas,BHS,Estonia,EST,0.022,0.44999999
1999,Bahamas,BHS,Latvia,LVA,0.54342848,0.101483
1999,Bahamas,BHS,Lithuania,LTU,0.53416002,0.0036
1999,Bahamas,BHS,Ukraine,UKR,8.1400003,0.30000001
1999,Bahamas,BHS,Belarus,BLR,0,0.32350001
